sic_code,course_name,title,description,url,total_words
604(0017),Blueprints,"5G-Blueprint Next generation connectivity for enhanced, safe & efficient transport & logistics","Next generation connectivity for enhanced, safe &amp; efficient transport &amp; logistics | 5G-Blueprint | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Next generatio",https://cordis.europa.eu/project/id/952189,Total words: 5934 | Blueprints: 1
604(0017),Blueprints,BlueSCities Blueprints for Smart Cities: Developing the methodology for a coordinated approach to the integration of the water and waste sectors within the EIP Smart Cities and Communities,Blueprints for Smart Cities: Developing the methodology for a coordinated approach to the integration of the water and waste sectors within the EIP Smart Cities and Communities | BlueSCities | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos,https://cordis.europa.eu/project/id/642354,Total words: 3269 | Blueprints: 4
604(0017),Blueprints,NEWSERA Citizen Science as the new paradigm for Science Communication,Citizen Science as the new paradigm for Science Communication | NEWSERA | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Citizen Science as the new paradigm for Science,https://cordis.europa.eu/project/id/873125,Total words: 2230 | Blueprints: 1
604(0017),Blueprints,Archived Final Report Summary - EUROSKY (Single European Secure Air-cargo Space),Single European Secure Air-cargo Space | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Single European Secure Air-cargo Space Content archived on 2024-05-27 Single European Secure Air-cargo Spac,https://cordis.europa.eu/project/id/312649/reporting,Total words: 9185 | Blueprints: 13
604(0017),Blueprints,Archived Final Report Summary - BLUEPRINT (A BLUEPRINT of Haematopoietic Epigenomes),A BLUEPRINT of Haematopoietic Epigenomes | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 A BLUEPRINT of Haematopoietic Epigenomes Content archived on 2024-06-18 A BLUEPRINT of Haematopoietic Epi,https://cordis.europa.eu/project/id/282510/reporting,Total words: 15249 | Blueprints: 4
604(0017),Blueprints,"Archived Final Report Summary - ENCE-CF-LAM-LTX (European Networks of Centres of Expertise for CF (Cystic Fibrosis), LAM (Lymphangioleiomyomatosis), and LTX (Lung Transplantation))","European Networks of Centres of Expertise for CF (Cystic Fibrosis), LAM (Lymphangioleiomyomatosis), and LTX (Lung Transplantation) | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 European Networ",https://cordis.europa.eu/project/id/223355/reporting,Total words: 4088 | Blueprints: 1
604(0017),Blueprints,RESERVIST Repurposing manufacturing lines for providing medical and other products and services in case of spiking demand times,Repurposing manufacturing lines for providing medical and other products and services in case of spiking demand times | RESERVIST | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Res,https://cordis.europa.eu/project/id/101016041,Total words: 4030 | Blueprints: 1
604(0017),Blueprints,Periodic Reporting for period 2 - BlueSCities (Blueprints for Smart Cities: Developing the methodology for a coordinated approach to the integration of the water and waste sectors within the EIP Smart Cities and Communities),Blueprints for Smart Cities: Developing the methodology for a coordinated approach to the integration of the water and waste sectors within the EIP Smart Cities and Communities | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search H,https://cordis.europa.eu/project/id/642354/reporting,Total words: 1979 | Blueprints: 5
604(0017),Blueprints,RAMONES Radioactivity Monitoring in Ocean Ecosystems,Radioactivity Monitoring in Ocean Ecosystems | RAMONES | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Radioactivity Monitoring in Ocean Ecosystems Radioactivity Monit,https://cordis.europa.eu/project/id/101017808,Total words: 2792 | Blueprints: 1
604(0017),Blueprints,Periodic Reporting for period 1 - A-AAgora (Blueprint for Atlantic-Arctic Agora on cross-sectoral cooperation for restoration of marine and coastal ecosystems and increased climate resilience through transformative innovation),Blueprint for Atlantic-Arctic Agora on cross-sectoral cooperation for restoration of marine and coastal ecosystems and increased climate resilience through transformative innovation | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab S,https://cordis.europa.eu/project/id/101093956/reporting,Total words: 1988 | Blueprints: 3
